"Year","Diver","Date","SiteDetails.Recorder","Measurement.Processors","Site.ID","bay.side","Quadrat","SH","SL","SW","Species","Common.Name","Count","Quadrat.size","Notes"
2012,"DNK",2012-06-01,"DNK","DNK","SGV 70","W",2,76,0,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 70","W",2,86,0,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 70","W",2,87,0,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 71","W",1,66,0,35,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",1,88,97,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",1,80,83,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",1,81,89,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",1,74,77,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",1,65,67,38,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",1,64,75,36,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",2,82,100,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",2,77,92,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",2,77,91,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",2,63,76,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",2,51,62,34,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 73","W",2,61,66,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 74","W",1,55,64,32,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 74","W",1,57,73,36,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 74","W",1,72,81,42,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 74","W",2,78,88,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",1,87,95,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",1,64,69,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",2,93,98,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",2,90,97,58,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",2,73,80,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",2,71,75,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 75","W",2,69,74,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 76","W",1,64,76,42,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 76","W",1,62,80,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 76","W",2,61,71,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",1,83,87,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",1,78,89,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",1,84,91,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",1,85,90,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",1,69,74,38,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",1,38,39,26,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",2,84,93,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",2,79,91,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",2,76,80,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 77","W",2,37,39,25,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 78","W",1,93,99,51,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 78","W",2,60,68,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 78","W",2,37,43,26,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 78","W",2,38,41,26,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 80","W",1,18,20,12,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 80","W",1,72,76,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 81","W",2,9,9,6,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 83","W",1,78,86,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 83","W",1,77,82,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 86","W",1,73,80,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 86","W",1,85,93,51,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 86","W",1,95,103,63,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 87","W",1,62,77,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 87","W",1,68,75,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 87","W",1,91,65,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 87","W",2,61,66,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 89","W",1,73,76,42,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 89","W",1,55,61,34,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 89","W",2,71,90,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 89","W",2,80,88,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 89","W",2,78,84,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 89","W",2,43,46,30,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 90","W",1,67,74,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 90","W",2,42,45,20,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 91","W",1,80,101,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 91","W",2,72,91,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 92","W",2,83,93,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 92","W",2,91,101,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 92","W",2,77,88,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 93","W",1,96,101,59,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 93","W",1,78,84,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 94","W",1,94,104,51,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 62","W",2,76,83,51,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",1,70,79,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",1,87,95,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",1,86,96,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",1,67,72,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",2,55,59,31,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",2,72,81,42,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",2,80,90,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 63","W",2,84,94,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 64","W",1,82,89,51,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 65","W",1,72,80,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 65","W",1,81,92,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 70","W",1,84,90,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 70","W",1,62,71,36,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 70","W",2,84,91,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 70","W",2,79,85,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 70","W",2,81,91,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 72.5","W",1,86,94,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 73","W",1,82,89,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 73","W",1,78,85,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 73","W",2,87,93,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 73","W",2,78,87,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 74","W",1,72,79,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 74","W",2,93,102,55,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",1,90,99,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",1,81,90,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",1,63,71,36,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",1,76,85,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",2,95,106,67,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",2,68,76,42,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",2,82,93,52,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 75.5","W",2,82,90,52,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2014,"AS",2014-08-07,"RK","AT,MT,KO","SGV 76","W",2,55,60,35,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",1,82,93,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",1,70,79,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",1,83,94,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",1,24,27,14,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",2,93,105,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",2,94,102,51,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",2,87,96,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 77","W",2,67,73,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",1,73,80,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",1,92,103,55,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",1,79,93,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",1,73,78,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,90,100,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,90,100,55,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,64,71,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,69,75,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,67,75,38,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,64,72,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","KC,KO,AT","SGV 78","W",2,36,39,27,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","LG,KO","SGV 82","W",1,88,96,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","LG,KO","SGV 82","W",2,78,83,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","LG,KO","SGV 84","W",1,80,88,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-14,"RK","LG,KO","SGV 84","W",1,44,55,28,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 81","W",1,82,89,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 81","W",1,65,72,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 81","W",1,9,10,6,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 88","W",1,82,93,60,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 88","W",2,92,102,54,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 90","W",1,27,30,18,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 91","W",1,73,82,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 91","W",1,80,91,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 91","W",2,76,89,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 92","W",2,87,96,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2014,"AS",2014-08-19,"RK","LG,KO","SGV 94","W",1,88,97,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 60","W",1,78,85,46,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 60","W",1,94,99,56,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 63","W",1,69,76,38,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 69","W",1,51,58,28,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 70","W",1,76,83,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 70","W",1,65,72,37,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 70","W",1,86,91,50,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 70","W",1,73,80,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 70","W",2,77,85,43,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 70","W",2,85,92,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 74","W",1,78,85,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 74","W",1,72,77,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 74","W",1,74,80,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 74","W",1,82,89,52,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 74","W",2,76,85,42,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-06-25,"RK","DC,KO","SGV 74","W",2,79,85,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 72","W",2,85,92,45,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 73","W",1,82,88,46,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 73","W",2,84,88,47,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 73","W",2,85,91,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 73","W",2,88,95,49,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 75.5","W",2,79,85,46,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 75.5","W",2,64,67,38,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 76","W",2,58,65,32,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 76","W",2,34,38,23,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 77","W",1,75,85,44,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 77","W",1,70,79,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 77","W",2,90,95,52,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 78","W",1,77,83,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 78","W",1,43,48,30,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 78","W",2,78,82,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 78","W",2,28,30,17,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 78","W",2,26,29,16,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 79","W",2,75,78,42,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 82","W",2,90,97,51,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 84","W",1,84,89,47,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 84","W",1,87,95,45,"Mercenaria mercenaria","Hard Clam",1,0.5,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 86","W",1,83,92,48,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 86","W",1,63,73,38,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 86","W",1,72,80,43,"Mercenaria mercenaria","Hard Clam",1,0.25,NA
2015,"AS",2015-07-02,"RK","DC,NF","SGV 87","W",2,54,63,31,"Mercenaria mercenaria","Hard Clam",1,0.125,NA
2015,"AS",2015-07-09,"RK","NK,KO","SGV 48","W",1,29,30,16,"Mercenaria mercenaria","Hard Clam",1,1,NA
2015,"AS",2015-07-09,"RK","NK,KO","SGV 81","W",1,79,88,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
