"Datasheet.Order","Year","Date","Diver","SiteDetails.Recorder","Measurement.Processors","Site.ID","bay.side","Quadrat","Temperature","Salinity","Sediment.Type","Habitat.Type","%Seagrass","%Macroalgae","Seagrass.in.Area?","Quadrat.Size","Notes","Overall.Notes"
11,2012,2012-06-01,"DNK","DNK","DNK","SGV 62","W",1,"DNK","DNK","DNK","MF",0,0,"DNK",1,"Razor Clam",NA
12,2012,2012-06-01,"DNK","DNK","DNK","SGV 62","W",2,"DNK","DNK","DNK","MF",0,0,"DNK",1,"Razor Clam",NA
13,2012,2012-06-01,"DNK","DNK","DNK","SGV 63","W",1,"DNK","DNK","DNK","SF",0,0,"DNK",1,NA,NA
14,2012,2012-06-01,"DNK","DNK","DNK","SGV 63","W",2,"DNK","DNK","DNK","SF",0,0,"DNK",1,NA,NA
15,2012,2012-06-01,"DNK","DNK","DNK","SGV 64","W",1,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
16,2012,2012-06-01,"DNK","DNK","DNK","SGV 64","W",2,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
17,2012,2012-06-01,"DNK","DNK","DNK","SGV 65","W",1,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
18,2012,2012-06-01,"DNK","DNK","DNK","SGV 65","W",2,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
19,2012,2012-06-01,"DNK","DNK","DNK","SGV 66","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,"mysid swarm'",NA
20,2012,2012-06-01,"DNK","DNK","DNK","SGV 66","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,"mysid swarm'",NA
21,2012,2012-06-01,"DNK","DNK","DNK","SGV 67","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"mud, spider crabs, crepidula, razor clam",NA
22,2012,2012-06-01,"DNK","DNK","DNK","SGV 67","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"mud, spider crabs, crepidula, razor clam",NA
23,2012,2012-06-01,"DNK","DNK","DNK","SGV 68","W",1,"DNK","DNK","DNK","MF",0,0,"DNK",1,"mya",NA
24,2012,2012-06-01,"DNK","DNK","DNK","SGV 68","W",2,"DNK","DNK","DNK","MF",0,0,"DNK",1,"mya",NA
25,2012,2012-06-01,"DNK","DNK","DNK","SGV 69","W",1,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
26,2012,2012-06-01,"DNK","DNK","DNK","SGV 69","W",2,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
27,2012,2012-06-01,"DNK","DNK","DNK","SGV 70","W",1,"DNK","DNK","DNK","DNK",0,0,"DNK",1,NA,NA
28,2012,2012-06-01,"DNK","DNK","DNK","SGV 70","W",2,"DNK","DNK","DNK","DNK",0,0,"DNK",1,NA,NA
29,2012,2012-06-01,"DNK","DNK","DNK","SGV 71","W",1,"DNK","DNK","DNK","SF",0,0,"DNK",1,"200 meters away, horseshoe crab, razor clam",NA
30,2012,2012-06-01,"DNK","DNK","DNK","SGV 71","W",2,"DNK","DNK","DNK","SF",0,0,"DNK",1,"200 meters away, horseshoe crab, razor clam",NA
31,2012,2012-06-01,"DNK","DNK","DNK","SGV 72","W",1,"DNK","DNK","DNK","SF",0,0,"N",1,"horseshoe crab, hermit crabs, sand shrimp, cusk eel, razor clam and sharkeye",NA
32,2012,2012-06-01,"DNK","DNK","DNK","SGV 72","W",2,"DNK","DNK","DNK","SF",0,0,"N",1,"horseshoe crab, hermit crabs, sand shrimp, cusk eel, razor clam and sharkeye",NA
33,2012,2012-06-01,"DNK","DNK","DNK","SGV 73","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"razor clam, mud crab",NA
34,2012,2012-06-01,"DNK","DNK","DNK","SGV 73","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"razor clam, mud crab",NA
35,2012,2012-06-01,"DNK","DNK","DNK","SGV 74","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,"flounder, seahorse, solemya, blue mussels",NA
36,2012,2012-06-01,"DNK","DNK","DNK","SGV 74","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,"flounder, seahorse, solemya, blue mussels",NA
37,2012,2012-06-01,"DNK","DNK","DNK","SGV 75","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"3 m deep, 100 m south of point to avoid channel, razor clams, blood arc, sand shrimp, brittle stars",NA
38,2012,2012-06-01,"DNK","DNK","DNK","SGV 75","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"3 m deep, 100 m south of point to avoid channel, razor clams, blood arc, sand shrimp, brittle stars",NA
39,2012,2012-06-01,"DNK","DNK","DNK","SGV 76","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,"2-2.5m deep",NA
40,2012,2012-06-01,"DNK","DNK","DNK","SGV 76","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,"2-2.5m deep",NA
41,2012,2012-06-01,"DNK","DNK","DNK","SGV 77","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"shark eye, solemya, sand shrimp",NA
42,2012,2012-06-01,"DNK","DNK","DNK","SGV 77","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"shark eye, solemya, sand shrimp",NA
43,2012,2012-06-01,"DNK","DNK","DNK","SGV 78","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"solemya, sand shrimp, brittle star, spider crab",NA
44,2012,2012-06-01,"DNK","DNK","DNK","SGV 78","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"solemya, sand shrimp, brittle star, spider crab",NA
45,2012,2012-06-01,"DNK","DNK","DNK","SGV 79","W",1,"DNK","DNK","DNK","SF",0,0,"N",1,NA,NA
46,2012,2012-06-01,"DNK","DNK","DNK","SGV 79","W",2,"DNK","DNK","DNK","SF",0,0,"N",1,NA,NA
47,2012,2012-06-01,"DNK","DNK","DNK","SGV 80","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
48,2012,2012-06-01,"DNK","DNK","DNK","SGV 80","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
49,2012,2012-06-01,"DNK","DNK","DNK","SGV 81","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,"seed clam",NA
50,2012,2012-06-01,"DNK","DNK","DNK","SGV 81","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,"seed clam",NA
51,2012,2012-06-01,"DNK","DNK","DNK","SGV 82","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,"solemya, shark eye",NA
52,2012,2012-06-01,"DNK","DNK","DNK","SGV 82","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,"solemya, shark eye",NA
53,2012,2012-06-01,"DNK","DNK","DNK","SGV 83","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,NA,NA
54,2012,2012-06-01,"DNK","DNK","DNK","SGV 83","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,NA,NA
55,2012,2012-06-01,"DNK","DNK","DNK","SGV 84","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,NA,NA
56,2012,2012-06-01,"DNK","DNK","DNK","SGV 84","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,NA,NA
57,2012,2012-06-01,"DNK","DNK","DNK","SGV 85","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,"amphipod tubes",NA
58,2012,2012-06-01,"DNK","DNK","DNK","SGV 85","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,"amphipod tubes",NA
59,2012,2012-06-01,"DNK","DNK","DNK","SGV 86","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,"blue crabs",NA
60,2012,2012-06-01,"DNK","DNK","DNK","SGV 86","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,"blue crabs",NA
61,2012,2012-06-01,"DNK","DNK","DNK","SGV 87","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,"channeled whelk, mya, blue crab, bay scallop, solemya",NA
62,2012,2012-06-01,"DNK","DNK","DNK","SGV 87","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,"channeled whelk, mya, blue crab, bay scallop, solemya",NA
63,2012,2012-06-01,"DNK","DNK","DNK","SGV 88","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,NA,NA
64,2012,2012-06-01,"DNK","DNK","DNK","SGV 88","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,NA,NA
65,2012,2012-06-01,"DNK","DNK","DNK","SGV 89","W",1,"DNK","DNK","DNK","SF",0,0,"Y",1,"solemya, bay scallops",NA
66,2012,2012-06-01,"DNK","DNK","DNK","SGV 89","W",2,"DNK","DNK","DNK","SF",0,0,"Y",1,"solemya, bay scallops",NA
67,2012,2012-06-01,"DNK","DNK","DNK","SGV 90","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,NA,NA
68,2012,2012-06-01,"DNK","DNK","DNK","SGV 90","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,NA,NA
69,2012,2012-06-01,"DNK","DNK","DNK","SGV 91","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
70,2012,2012-06-01,"DNK","DNK","DNK","SGV 91","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
71,2012,2012-06-01,"DNK","DNK","DNK","SGV 92","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,"worm tubes",NA
72,2012,2012-06-01,"DNK","DNK","DNK","SGV 92","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,"worm tubes",NA
73,2012,2012-06-01,"DNK","DNK","DNK","SGV 93","W",1,"DNK","DNK","DNK","SF",0,0,"N",1,NA,NA
74,2012,2012-06-01,"DNK","DNK","DNK","SGV 93","W",2,"DNK","DNK","DNK","SF",0,0,"N",1,NA,NA
75,2012,2012-06-01,"DNK","DNK","DNK","SGV 94","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
76,2012,2012-06-01,"DNK","DNK","DNK","SGV 94","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
77,2012,2012-06-01,"DNK","DNK","DNK","SGV 95","W",1,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
78,2012,2012-06-01,"DNK","DNK","DNK","SGV 95","W",2,"DNK","DNK","DNK","MF",0,0,"N",1,NA,NA
1,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 60","W",1,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
2,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 60","W",2,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
5,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 61","W",1,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
6,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 61","W",2,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
7,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 62","W",1,"DNK","DNK","MS","MF",0,0,"N",1,"Dead seagrass on surface",NA
8,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 62","W",2,"DNK","DNK","MS","MF",0,0,"N",1,"Dead seagrass on surface",NA
9,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 63","W",1,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
10,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 63","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
11,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 64","W",1,"DNK","DNK","MS","MF",0,0,"N",1,NA,NA
12,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 64","W",2,"DNK","DNK","MS","MF",0,0,"N",1,NA,NA
13,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 65","W",1,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
14,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 65","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
19,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 66","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
20,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 66","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
21,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 67","W",1,"DNK","DNK","S","SF",0,0,"N",1,"Substrate had gravel mixed in",NA
22,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 67","W",2,"DNK","DNK","S","SF",0,0,"N",0.25,"Substrate had gravel mixed in",NA
3,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 68","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
4,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 68","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
17,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 69","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
18,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 69","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
15,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 70","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
16,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 70","W",2,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
23,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 72.5","W",1,"DNK","DNK","S","SF",0,0,"N",1,"Made a new point 72",NA
24,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 72.5","W",2,"DNK","DNK","S","SF",0,0,"N",1,"Made a new point 72",NA
29,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 73","W",1,"DNK","DNK","MS","MF",0,0,"N",1,NA,NA
30,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 73","W",2,"DNK","DNK","MS","MF",0,0,"N",1,NA,NA
27,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 74","W",1,"DNK","DNK","S","SF",0,0,"Y",1,NA,NA
28,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 74","W",2,"DNK","DNK","S","SF",0,0,"Y",1,NA,NA
31,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 75.5","W",1,"DNK","DNK","MS","MF",0,0,"N",1,"Was in channel, moved point out of channel",NA
32,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 75.5","W",2,"DNK","DNK","MS","MF",0,0,"N",0.25,"Was in channel, moved point out of channel",NA
25,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 76","W",1,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
26,2014,2014-08-07,"AS","RK","AT,MT,KO","SGV 76","W",2,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
33,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 71","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
34,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 71","W",2,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
35,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 77","W",1,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
36,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 77","W",2,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
37,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 78","W",1,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
38,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 78","W",2,"DNK","DNK","SM","SF",0,0,"N",1,NA,NA
39,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 79","W",1,"DNK","DNK","S","SF",0,0,"Y",1,NA,NA
40,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 79","W",2,"DNK","DNK","S","SF",0,0,"Y",1,NA,NA
41,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 82","W",1,"DNK","DNK","S","SG",100,0,"Y",1,NA,NA
42,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 82","W",2,"DNK","DNK","S","SG",50,0,"Y",1,NA,NA
45,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 83","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
46,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 83","W",2,"DNK","DNK","S","SF",0,0,"N",1,"Only did 1/2 of Quadrat",NA
43,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 84","W",1,"DNK","DNK","S","SF",0,0,"Y",1,NA,NA
44,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 84","W",2,"DNK","DNK","S","SF",0,0,"Y",1,NA,NA
47,2014,2014-08-14,"AS","RK","KC,KO,AT","SGV 86","W",1,"DNK","DNK","S","SG",100,0,"Y",1,"Did not finish second quadrat on the day of because engine died.  Did second quadrate on 8.19.14",NA
52,2014,2014-08-19,"AS","RK","LG,KO","SGV 47","W",1,"DNK","DNK","S","SH",0,0,"N",1,NA,NA
53,2014,2014-08-19,"AS","RK","LG,KO","SGV 47","W",2,"DNK","DNK","S","SH",0,0,"N",1,NA,NA
50,2014,2014-08-19,"AS","RK","LG,KO","SGV 48","W",1,"DNK","DNK","S","SH",0,0,"N",1,"MA in area",NA
51,2014,2014-08-19,"AS","RK","LG,KO","SGV 48","W",2,"DNK","DNK","S","SH",0,0,"N",1,"MA in area",NA
56,2014,2014-08-19,"AS","RK","LG,KO","SGV 49","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
57,2014,2014-08-19,"AS","RK","LG,KO","SGV 49","W",2,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
66,2014,2014-08-19,"AS","RK","LG,KO","SGV 80","W",1,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
67,2014,2014-08-19,"AS","RK","LG,KO","SGV 80","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
64,2014,2014-08-19,"AS","RK","LG,KO","SGV 81","W",1,"DNK","DNK","SM","MF",0,0,"N",1,"A lot of Gemma Gemma",NA
65,2014,2014-08-19,"AS","RK","LG,KO","SGV 81","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
62,2014,2014-08-19,"AS","RK","LG,KO","SGV 85","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
63,2014,2014-08-19,"AS","RK","LG,KO","SGV 85","W",2,"DNK","DNK","M","MF",0,0,"N",0.5,NA,NA
78,2014,2014-08-19,"AS","RK","LG,KO","SGV 86","W",2,"DNK","DNK","S","SG",100,0,"Y",1,NA,NA
76,2014,2014-08-19,"AS","RK","LG,KO","SGV 87","W",1,"DNK","DNK","S","SG",75,25,"Y",1,NA,NA
77,2014,2014-08-19,"AS","RK","LG,KO","SGV 87","W",2,"DNK","DNK","S","SG",75,25,"Y",1,NA,NA
60,2014,2014-08-19,"AS","RK","LG,KO","SGV 88","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
61,2014,2014-08-19,"AS","RK","LG,KO","SGV 88","W",2,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
48,2014,2014-08-19,"AS","RK","LG,KO","SGV 89","W",1,"DNK","DNK","S","SG",30,70,"Y",1,"Seagrass long, at the hip",NA
49,2014,2014-08-19,"AS","RK","LG,KO","SGV 89","W",2,"DNK","DNK","S","SG",50,50,"Y",1,"Seagrass long, at the hip",NA
54,2014,2014-08-19,"AS","RK","LG,KO","SGV 90","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
55,2014,2014-08-19,"AS","RK","LG,KO","SGV 90","W",2,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
58,2014,2014-08-19,"AS","RK","LG,KO","SGV 91","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
59,2014,2014-08-19,"AS","RK","LG,KO","SGV 91","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
70,2014,2014-08-19,"AS","RK","LG,KO","SGV 92","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
71,2014,2014-08-19,"AS","RK","LG,KO","SGV 92","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
72,2014,2014-08-19,"AS","RK","LG,KO","SGV 93","W",1,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
73,2014,2014-08-19,"AS","RK","LG,KO","SGV 93","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
74,2014,2014-08-19,"AS","RK","LG,KO","SGV 94","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
75,2014,2014-08-19,"AS","RK","LG,KO","SGV 94","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
68,2014,2014-08-19,"AS","RK","LG,KO","SGV 95","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
69,2014,2014-08-19,"AS","RK","LG,KO","SGV 95","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
1,2015,2015-06-25,"AS","RK","DC,KO","SGV 60","W",1,"DNK","DNK","SM","MF",0,0,"N",0.25,"1/4 sample, hard sand, top 3 inches worms and rocks",NA
2,2015,2015-06-25,"AS","RK","DC,KO","SGV 60","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
5,2015,2015-06-25,"AS","RK","DC,KO","SGV 61.5","W",1,"DNK","DNK","S","SF",0,0,"N",1,"40°49'11.1N 72°34'45.9""W, too shallow to access site 61 (at the mouth of Penniman Creek)",NA
6,2015,2015-06-25,"AS","RK","DC,KO","SGV 61.5","W",2,"DNK","DNK","S","SF",0,0,"N",1,"40°49'11.1N 72°34'45.9""W, too shallow to access site 61 (at the mouth of Penniman Creek)",NA
7,2015,2015-06-25,"AS","RK","DC,KO","SGV 62","W",1,"DNK","DNK","MS","MF",0,0,"Y",1,NA,NA
8,2015,2015-06-25,"AS","RK","DC,KO","SGV 62","W",2,"DNK","DNK","MS","MF",25,0,"Y",1,NA,NA
9,2015,2015-06-25,"AS","RK","DC,KO","SGV 63","W",1,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
10,2015,2015-06-25,"AS","RK","DC,KO","SGV 63","W",2,"DNK","DNK","SM","MF",0,0,"N",1,NA,NA
11,2015,2015-06-25,"AS","RK","DC,KO","SGV 64","W",1,"DNK","DNK","M","MF",0,100,"N",1,"mucky mud",NA
12,2015,2015-06-25,"AS","RK","DC,KO","SGV 64","W",2,"DNK","DNK","M","MF",0,100,"N",1,"mucky mud",NA
13,2015,2015-06-25,"AS","RK","DC,KO","SGV 65","W",1,"DNK","DNK","M","MF",0,0,"N",1,"lots of gemma gemma",NA
14,2015,2015-06-25,"AS","RK","DC,KO","SGV 65","W",2,"DNK","DNK","M","MF",0,0,"N",1,"lots of gemma gemma",NA
19,2015,2015-06-25,"AS","RK","DC,KO","SGV 66","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
20,2015,2015-06-25,"AS","RK","DC,KO","SGV 66","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
21,2015,2015-06-25,"AS","RK","DC,KO","SGV 67","W",1,"DNK","DNK","S","SF",0,50,"N",0.25,"cobblestone",NA
22,2015,2015-06-25,"AS","RK","DC,KO","SGV 67","W",2,"DNK","DNK","S","SF",0,50,"N",0.25,"cobblestone",NA
3,2015,2015-06-25,"AS","RK","DC,KO","SGV 68","W",1,"DNK","DNK","M","MF",0,0,"N",1,"liquid mud",NA
4,2015,2015-06-25,"AS","RK","DC,KO","SGV 68","W",2,"DNK","DNK","M","MF",0,0,"N",1,"liquid mud",NA
17,2015,2015-06-25,"AS","RK","DC,KO","SGV 69","W",1,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
18,2015,2015-06-25,"AS","RK","DC,KO","SGV 69","W",2,"DNK","DNK","M","MF",0,0,"N",1,NA,NA
15,2015,2015-06-25,"AS","RK","DC,KO","SGV 70","W",1,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
16,2015,2015-06-25,"AS","RK","DC,KO","SGV 70","W",2,"DNK","DNK","S","SF",0,0,"N",1,NA,NA
23,2015,2015-06-25,"AS","RK","DC,KO","SGV 74","W",1,"DNK","DNK","S","SG",50,50,"Y",1,NA,NA
24,2015,2015-06-25,"AS","RK","DC,KO","SGV 74","W",2,"DNK","DNK","S","SG",0,10,"Y",1,NA,NA
25,2015,2015-07-02,"AS","RK","DC,NF","SGV 71","W",1,"23.8","25.2","S","SF",0,0,"N",1,NA,NA
26,2015,2015-07-02,"AS","RK","DC,NF","SGV 71","W",2,"23.8","25.2","S","SF",0,0,"N",0.25,"1/2 sample b/c of amount of sand",NA
27,2015,2015-07-02,"AS","RK","DC,NF","SGV 72","W",1,"24.0","25.7","S","SF",0,0,"N",0.25,NA,NA
28,2015,2015-07-02,"AS","RK","DC,NF","SGV 72","W",2,"24.0","25.7","S","SF",0,0,"N",0.25,NA,NA
33,2015,2015-07-02,"AS","RK","DC,NF","SGV 73","W",1,"24.1","26.5","S","SF",0,0,"N",0.25,NA,NA
34,2015,2015-07-02,"AS","RK","DC,NF","SGV 73","W",2,"24.1","26.5","S","SF",0,0,"N",1,NA,NA
31,2015,2015-07-02,"AS","RK","DC,NF","SGV 75.5","W",1,"23.6","26.6","M","MF",0,0,"N",0.25,"Jello mud",NA
